cty,Name,Fraction_Married_rP_gP_pall
cty05115,"Pope County, AR",0.5307
cty32007,"Elko County, NV",0.5304
cty08037,"Eagle County, CO",0.5304
cty29217,"Vernon County, MO",0.5302
cty51775,"Salem city, VA",0.5301
cty01057,"Fayette County, AL",0.5299
cty20001,"Allen County, KS",0.5297
cty21207,"Russell County, KY",0.5297
cty08045,"Garfield County, CO",0.5296
cty53049,"Pacific County, WA",0.5295
cty47017,"Carroll County, TN",0.5295
cty39029,"Columbiana County, OH",0.5295
cty48435,"Sutton County, TX",0.5295
cty27137,"St. Louis County, MN",0.5294
cty54089,"Summers County, WV",0.5294
cty29159,"Pettis County, MO",0.5292
cty51199,"York County, VA",0.5292
cty21199,"Pulaski County, KY",0.5292
cty29223,"Wayne County, MO",0.5291
cty08043,"Fremont County, CO",0.529
cty05143,"Washington County, AR",0.5288
cty53025,"Grant County, WA",0.5287
cty01115,"St. Clair County, AL",0.5285
cty39053,"Gallia County, OH",0.5285
cty18077,"Jefferson County, IN",0.5285
cty54103,"Wetzel County, WV",0.5284
cty51113,"Madison County, VA",0.5284
cty54059,"Mingo County, WV",0.5284
cty17169,"Schuyler County, IL",0.5283
cty37149,"Polk County, NC",0.5283
cty21109,"Jackson County, KY",0.5283
cty47185,"White County, TN",0.5282
cty36025,"Delaware County, NY",0.5282
cty08007,"Archuleta County, CO",0.5282
cty18025,"Crawford County, IN",0.5282
cty47103,"Lincoln County, TN",0.5282
cty54027,"Hampshire County, WV",0.528
cty40047,"Garfield County, OK",0.5279
cty40099,"Murray County, OK",0.5277
cty42007,"Beaver County, PA",0.5277
cty55003,"Ashland County, WI",0.5276
cty06109,"Tuolumne County, CA",0.5276
cty29047,"Clay County, MO",0.5275
cty06061,"Placer County, CA",0.5275
cty37173,"Swain County, NC",0.5274
cty17099,"LaSalle County, IL",0.5274
cty42097,"Northumberland County, PA",0.5274
cty56001,"Albany County, WY",0.5273
cty42053,"Forest County, PA",0.5273
cty36079,"Putnam County, NY",0.5271
cty26129,"Ogemaw County, MI",0.527
cty05031,"Craighead County, AR",0.527
cty01095,"Marshall County, AL",0.5269
cty36101,"Steuben County, NY",0.5269
cty54109,"Wyoming County, WV",0.5269
cty40079,"Le Flore County, OK",0.5268
cty48417,"Shackelford County, TX",0.5267
cty48159,"Franklin County, TX",0.5266
cty47067,"Hancock County, TN",0.5265
cty47181,"Wayne County, TN",0.5265
cty46103,"Pennington County, SD",0.5263
cty47061,"Grundy County, TN",0.526
cty30045,"Judith Basin County, MT",0.526
cty13047,"Catoosa County, GA",0.5259
cty30067,"Park County, MT",0.5259
cty39143,"Sandusky County, OH",0.5259
cty05125,"Saline County, AR",0.5258
cty37087,"Haywood County, NC",0.5258
cty08085,"Montrose County, CO",0.5257
cty26003,"Alger County, MI",0.5257
cty21139,"Livingston County, KY",0.5257
cty06005,"Amador County, CA",0.5256
cty26081,"Kent County, MI",0.5256
cty55025,"Dane County, WI",0.5256
cty05049,"Fulton County, AR",0.5256
cty42081,"Lycoming County, PA",0.5255
cty39025,"Clermont County, OH",0.5254
cty21127,"Lawrence County, KY",0.5254
cty30063,"Missoula County, MT",0.5252
cty48369,"Parmer County, TX",0.5252
cty39085,"Lake County, OH",0.5252
cty33007,"Coos County, NH",0.5252
cty06035,"Lassen County, CA",0.5251
cty36003,"Allegany County, NY",0.5251
cty55077,"Marquette County, WI",0.525
cty21187,"Owen County, KY",0.525
cty41045,"Malheur County, OR",0.5248
cty39097,"Madison County, OH",0.5247
cty18093,"Lawrence County, IN",0.5246
cty40083,"Logan County, OK",0.5245
cty16013,"Blaine County, ID",0.5244
cty48221,"Hood County, TX",0.5244
cty18003,"Allen County, IN",0.5243
cty54091,"Taylor County, WV",0.5243
cty08087,"Morgan County, CO",0.5243
cty36069,"Ontario County, NY",0.5242
cty19155,"Pottawattamie County, IA",0.5241
cty26105,"Mason County, MI",0.5241
cty21101,"Henderson County, KY",0.5241
cty26131,"Ontonagon County, MI",0.5241
cty53073,"Whatcom County, WA",0.5238
cty21077,"Gallatin County, KY",0.5238
cty37175,"Transylvania County, NC",0.5238
cty24035,"Queen Anne's County, MD",0.5237
cty17039,"De Witt County, IL",0.5236
cty36051,"Livingston County, NY",0.5236
cty36077,"Otsego County, NY",0.5235
cty26023,"Branch County, MI",0.5234
cty21179,"Nelson County, KY",0.5234
cty51678,"Lexington city, VA",0.5233
cty47009,"Blount County, TN",0.5232
cty36107,"Tioga County, NY",0.5232
cty29027,"Callaway County, MO",0.5232
cty18149,"Starke County, IN",0.5231
cty17081,"Jefferson County, IL",0.5231
cty54033,"Harrison County, WV",0.523
cty27021,"Cass County, MN",0.5229
cty51191,"Washington County, VA",0.5228
cty47165,"Sumner County, TN",0.5228
cty48365,"Panola County, TX",0.5227
cty54069,"Ohio County, WV",0.5227
cty40055,"Greer County, OK",0.5227
cty05133,"Sevier County, AR",0.5226
cty21069,"Fleming County, KY",0.5226
cty05089,"Marion County, AR",0.5225
cty26099,"Macomb County, MI",0.5224
cty51163,"Rockbridge County, VA",0.5224
cty26029,"Charlevoix County, MI",0.5223
cty05135,"Sharp County, AR",0.5223
cty17057,"Fulton County, IL",0.5223
cty36045,"Jefferson County, NY",0.5222
cty21125,"Laurel County, KY",0.5222
cty48091,"Comal County, TX",0.5221
cty21213,"Simpson County, KY",0.5219
cty39003,"Allen County, OH",0.5219
cty18013,"Brown County, IN",0.5218
cty54049,"Marion County, WV",0.5217
cty48317,"Martin County, TX",0.5217
cty21223,"Trimble County, KY",0.5216
cty36053,"Madison County, NY",0.5216
cty39059,"Guernsey County, OH",0.5216
cty51610,"Falls Church city, VA",0.5216
cty20045,"Douglas County, KS",0.5215
cty21221,"Trigg County, KY",0.5214
cty37167,"Stanly County, NC",0.5214
cty26153,"Schoolcraft County, MI",0.5213
cty47175,"Van Buren County, TN",0.5212
cty51005,"Alleghany County, VA",0.5212
cty18017,"Cass County, IN",0.5208
cty21231,"Wayne County, KY",0.5207
cty37003,"Alexander County, NC",0.5207
cty24027,"Howard County, MD",0.5206
cty40071,"Kay County, OK",0.5205
cty48499,"Wood County, TX",0.5205
cty08059,"Jefferson County, CO",0.5203
cty47015,"Cannon County, TN",0.5203
cty26147,"St. Clair County, MI",0.5202
cty21239,"Woodford County, KY",0.5202
cty36091,"Saratoga County, NY",0.5201
cty40041,"Delaware County, OK",0.52
cty27071,"Koochiching County, MN",0.5198
cty36087,"Rockland County, NY",0.5197
cty51520,"Bristol city, VA",0.5197
cty30047,"Lake County, MT",0.5196
cty21105,"Hickman County, KY",0.5196
cty45073,"Oconee County, SC",0.5196
cty41013,"Crook County, OR",0.5196
cty48223,"Hopkins County, TX",0.5196
cty18175,"Washington County, IN",0.5195
cty47057,"Grainger County, TN",0.5194
cty47087,"Jackson County, TN",0.5193
cty42011,"Berks County, PA",0.5191
cty22011,"Beauregard Parish, LA",0.5191
cty44001,"Bristol County, RI",0.5191
cty48339,"Montgomery County, TX",0.519
cty48359,"Oldham County, TX",0.519
cty48023,"Baylor County, TX",0.5189
cty40123,"Pontotoc County, OK",0.5188
cty41005,"Clackamas County, OR",0.5188
cty47171,"Unicoi County, TN",0.5188
cty40067,"Jefferson County, OK",0.5187
cty20169,"Saline County, KS",0.5187
cty51105,"Lee County, VA",0.5187
cty18105,"Monroe County, IN",0.5187
cty47051,"Franklin County, TN",0.5187
cty30041,"Hill County, MT",0.5186
cty54025,"Greenbrier County, WV",0.5185
cty04009,"Graham County, AZ",0.5184
cty53007,"Chelan County, WA",0.5184
cty53011,"Clark County, WA",0.5184
cty47001,"Anderson County, TN",0.5184
cty21143,"Lyon County, KY",0.5184
cty39133,"Portage County, OH",0.5183
cty48467,"Van Zandt County, TX",0.5183
cty47151,"Scott County, TN",0.5182
cty18043,"Floyd County, IN",0.5181
cty21043,"Carter County, KY",0.5181
cty21005,"Anderson County, KY",0.518
cty26069,"Iosco County, MI",0.518
cty31173,"Thurston County, NE",0.5179
cty47049,"Fentress County, TN",0.5179
cty47163,"Sullivan County, TN",0.5179
cty39017,"Butler County, OH",0.5178
cty39129,"Pickaway County, OH",0.5178
cty48051,"Burleson County, TX",0.5178
cty42023,"Cameron County, PA",0.5178
cty51179,"Stafford County, VA",0.5177
cty53003,"Asotin County, WA",0.5177
cty40049,"Garvin County, OK",0.5176
cty39027,"Clinton County, OH",0.5176
cty54083,"Randolph County, WV",0.5176
cty46047,"Fall River County, SD",0.5175
cty36099,"Seneca County, NY",0.5175
cty31043,"Dakota County, NE",0.5174
cty40061,"Haskell County, OK",0.5174
cty54099,"Wayne County, WV",0.5174
cty39071,"Highland County, OH",0.5174
cty56007,"Carbon County, WY",0.5174
cty40115,"Ottawa County, OK",0.5172
cty06093,"Siskiyou County, CA",0.5171
cty18079,"Jennings County, IN",0.5171
cty21011,"Bath County, KY",0.517
cty39139,"Richland County, OH",0.5169
cty54019,"Fayette County, WV",0.5168
cty54045,"Logan County, WV",0.5167
cty50005,"Caledonia County, VT",0.5167
cty40075,"Kiowa County, OK",0.5165
cty21215,"Spencer County, KY",0.5165
cty37089,"Henderson County, NC",0.5164
cty36017,"Chenango County, NY",0.5164
cty47043,"Dickson County, TN",0.5164
cty48097,"Cooke County, TX",0.5163
cty48121,"Denton County, TX",0.5163
cty29195,"Saline County, MO",0.5163
cty47173,"Union County, TN",0.5163
cty21227,"Warren County, KY",0.5162
cty08099,"Prowers County, CO",0.5162
cty42051,"Fayette County, PA",0.516
cty13241,"Rabun County, GA",0.516
cty39119,"Muskingum County, OH",0.516
cty54057,"Mineral County, WV",0.516
cty21205,"Rowan County, KY",0.516
cty41053,"Polk County, OR",0.5159
cty42025,"Carbon County, PA",0.5158
cty26135,"Oscoda County, MI",0.5158
cty47073,"Hawkins County, TN",0.5157
cty29055,"Crawford County, MO",0.5157
cty26165,"Wexford County, MI",0.5156
cty48083,"Coleman County, TX",0.5153
cty47035,"Cumberland County, TN",0.5152
cty17177,"Stephenson County, IL",0.5151
cty26077,"Kalamazoo County, MI",0.515
cty51059,"Fairfax County, VA",0.515
cty53047,"Okanogan County, WA",0.5149
cty36013,"Chautauqua County, NY",0.5148
cty08057,"Jackson County, CO",0.5147
cty56021,"Laramie County, WY",0.5146
cty41021,"Gilliam County, OR",0.5143
cty50007,"Chittenden County, VT",0.5143
cty20103,"Leavenworth County, KS",0.5142
cty26013,"Baraga County, MI",0.5141
cty41009,"Columbia County, OR",0.5141
cty08093,"Park County, CO",0.5141
cty36089,"St. Lawrence County, NY",0.514
cty48495,"Winkler County, TX",0.514
cty17119,"Madison County, IL",0.5139
cty25021,"Norfolk County, MA",0.5139
cty23003,"Aroostook County, ME",0.5137
cty06057,"Nevada County, CA",0.5137
cty40035,"Craig County, OK",0.5136
cty53063,"Spokane County, WA",0.5136
cty48239,"Jackson County, TX",0.5136
cty51171,"Shenandoah County, VA",0.5136
cty34041,"Warren County, NJ",0.5136
cty48137,"Edwards County, TX",0.5136
cty05127,"Scott County, AR",0.5135
cty42095,"Northampton County, PA",0.5134
cty32013,"Humboldt County, NV",0.5133
cty21029,"Bullitt County, KY",0.5133
cty39073,"Hocking County, OH",0.5132
cty47139,"Polk County, TN",0.5132
cty55031,"Douglas County, WI",0.513
cty33015,"Rockingham County, NH",0.513
cty55137,"Waushara County, WI",0.513
cty51003,"Albemarle County, VA",0.5129
cty40037,"Creek County, OK",0.5128
cty39151,"Stark County, OH",0.5128
cty47123,"Monroe County, TN",0.5127
cty13231,"Pike County, GA",0.5127
cty42107,"Schuylkill County, PA",0.5127
cty12059,"Holmes County, FL",0.5127
cty24001,"Allegany County, MD",0.5127
cty12067,"Lafayette County, FL",0.5126
cty45077,"Pickens County, SC",0.5126
cty54081,"Raleigh County, WV",0.5125
cty09013,"Tolland County, CT",0.5125
cty48415,"Scurry County, TX",0.5125
cty13187,"Lumpkin County, GA",0.5125
cty08083,"Montezuma County, CO",0.5124
cty47129,"Morgan County, TN",0.5124
cty29007,"Audrain County, MO",0.5122
cty28145,"Union County, MS",0.5122
cty51067,"Franklin County, VA",0.5122
cty21145,"McCracken County, KY",0.512
cty41043,"Linn County, OR",0.5119
cty33011,"Hillsborough County, NH",0.5119
cty21137,"Lincoln County, KY",0.5118
cty54075,"Pocahontas County, WV",0.5117
cty47021,"Cheatham County, TN",0.5117
cty54053,"Mason County, WV",0.5116
cty21167,"Mercer County, KY",0.5114
cty47025,"Claiborne County, TN",0.5113
cty47077,"Henderson County, TN",0.5112
cty48251,"Johnson County, TX",0.511
cty29093,"Iron County, MO",0.511
cty40105,"Nowata County, OK",0.5108
cty27087,"Mahnomen County, MN",0.5107
cty47011,"Bradley County, TN",0.5107
cty54005,"Boone County, WV",0.5106
cty21021,"Boyle County, KY",0.5106
cty26027,"Cass County, MI",0.5106
cty48297,"Live Oak County, TX",0.5106
cty51061,"Fauquier County, VA",0.5103
cty42049,"Erie County, PA",0.5102
cty05029,"Conway County, AR",0.5102
cty21131,"Leslie County, KY",0.5102
cty21071,"Floyd County, KY",0.51
cty48253,"Jones County, TX",0.51
cty21117,"Kenton County, KY",0.5099
cty20125,"Montgomery County, KS",0.5098
cty18119,"Owen County, IN",0.5098
cty40095,"Marshall County, OK",0.5097
cty47041,"DeKalb County, TN",0.5097
cty37111,"McDowell County, NC",0.5097
cty47121,"Meigs County, TN",0.5097
cty48031,"Blanco County, TX",0.5096
cty32001,"Churchill County, NV",0.5095
cty21165,"Menifee County, KY",0.5094
cty22123,"West Carroll Parish, LA",0.5094
cty47131,"Obion County, TN",0.5094
cty17121,"Marion County, IL",0.5094
cty48491,"Williamson County, TX",0.5093
cty17007,"Boone County, IL",0.5093
cty36117,"Wayne County, NY",0.5093
cty30077,"Powell County, MT",0.5092
cty34003,"Bergen County, NJ",0.5089
cty39009,"Athens County, OH",0.5089
cty08013,"Boulder County, CO",0.5088
cty18065,"Henry County, IN",0.5088
cty53059,"Skamania County, WA",0.5087
cty47109,"McNairy County, TN",0.5087
cty50027,"Windsor County, VT",0.5084
cty48329,"Midland County, TX",0.5083
cty51095,"James City County, VA",0.5083
cty06105,"Trinity County, CA",0.5083
cty41017,"Deschutes County, OR",0.5082
cty18067,"Howard County, IN",0.5082
cty13227,"Pickens County, GA",0.508
cty36019,"Clinton County, NY",0.508
cty48111,"Dallam County, TX",0.508
cty01061,"Geneva County, AL",0.508
cty06027,"Inyo County, CA",0.5079
cty13143,"Haralson County, GA",0.5079
cty51011,"Appomattox County, VA",0.5078
cty21163,"Meade County, KY",0.5078
cty05071,"Johnson County, AR",0.5078
cty05085,"Lonoke County, AR",0.5077
cty18167,"Vigo County, IN",0.5077
cty18163,"Vanderburgh County, IN",0.5076
cty51073,"Gloucester County, VA",0.5074
cty29187,"St. Francois County, MO",0.5074
cty13123,"Gilmer County, GA",0.5074
cty48379,"Rains County, TX",0.5074
cty08049,"Grand County, CO",0.5074
cty08123,"Weld County, CO",0.5073
cty26125,"Oakland County, MI",0.5073
cty45063,"Lexington County, SC",0.5072
cty40033,"Cotton County, OK",0.5072
cty28041,"Greene County, MS",0.5071
cty01083,"Limestone County, AL",0.5071
cty41071,"Yamhill County, OR",0.5069
cty18115,"Ohio County, IN",0.5068
cty20177,"Shawnee County, KS",0.5066
cty54029,"Hancock County, WV",0.5063
cty51127,"New Kent County, VA",0.5062
cty34035,"Somerset County, NJ",0.5061
cty26035,"Clare County, MI",0.5061
cty36029,"Erie County, NY",0.506
cty48299,"Llano County, TX",0.506
cty39131,"Pike County, OH",0.506
cty47101,"Lewis County, TN",0.506
cty51009,"Amherst County, VA",0.5059
cty13029,"Bryan County, GA",0.5058
cty48341,"Moore County, TX",0.5058
cty13085,"Dawson County, GA",0.5058
cty41065,"Wasco County, OR",0.5057
cty39089,"Licking County, OH",0.5057
cty01079,"Lawrence County, AL",0.5056
cty48015,"Austin County, TX",0.5056
cty37099,"Jackson County, NC",0.5055
cty21019,"Boyd County, KY",0.5055
cty05033,"Crawford County, AR",0.5054
cty24043,"Washington County, MD",0.5054
cty29023,"Butler County, MO",0.5054
cty47117,"Marshall County, TN",0.5054
cty31055,"Douglas County, NE",0.5053
cty42077,"Lehigh County, PA",0.5052
cty23019,"Penobscot County, ME",0.505
cty48093,"Comanche County, TX",0.505
cty22085,"Sabine Parish, LA",0.5049
cty41067,"Washington County, OR",0.5049
cty47169,"Trousdale County, TN",0.5048
cty41057,"Tillamook County, OR",0.5047
cty51069,"Frederick County, VA",0.5047
cty13129,"Gordon County, GA",0.5046
cty13177,"Lee County, GA",0.5043
cty47055,"Giles County, TN",0.5042
cty41035,"Klamath County, OR",0.5041
cty47107,"McMinn County, TN",0.5041
cty24037,"St. Mary's County, MD",0.5039
cty27053,"Hennepin County, MN",0.5038
cty39015,"Brown County, OH",0.5036
cty17017,"Cass County, IL",0.5036
cty18041,"Fayette County, IN",0.5036
cty39141,"Ross County, OH",0.5035
cty25019,"Nantucket County, MA",0.5035
cty17077,"Jackson County, IL",0.5034
cty29019,"Boone County, MO",0.5033
cty51173,"Smyth County, VA",0.5033
cty24025,"Harford County, MD",0.5032
cty08109,"Saguache County, CO",0.5032
cty34025,"Monmouth County, NJ",0.5031
cty47147,"Robertson County, TN",0.5031
cty21161,"Mason County, KY",0.5028
cty33013,"Merrimack County, NH",0.5026
cty51660,"Harrisonburg city, VA",0.5025
cty37053,"Currituck County, NC",0.5024
cty13103,"Effingham County, GA",0.5024
cty54065,"Morgan County, WV",0.5023
cty21151,"Madison County, KY",0.5021
cty47091,"Johnson County, TN",0.5021
cty33005,"Cheshire County, NH",0.502
cty47105,"Loudon County, TN",0.502
cty23031,"York County, ME",0.5019
cty40057,"Harmon County, OK",0.5019
cty48287,"Lee County, TX",0.5019
cty40127,"Pushmataha County, OK",0.5018
cty40135,"Sequoyah County, OK",0.5018
cty36075,"Oswego County, NY",0.5018
cty09005,"Litchfield County, CT",0.5018
cty42069,"Lackawanna County, PA",0.5018
cty39043,"Erie County, OH",0.5017
cty21095,"Harlan County, KY",0.5017
cty53041,"Lewis County, WA",0.5015
cty21041,"Carroll County, KY",0.5015
cty26085,"Lake County, MI",0.5015
cty47177,"Warren County, TN",0.5015
cty17097,"Lake County, IL",0.5014
cty36007,"Broome County, NY",0.5014
cty40013,"Bryan County, OK",0.5012
cty06101,"Sutter County, CA",0.5011
cty54055,"Mercer County, WV",0.501
cty48219,"Hockley County, TX",0.5009
cty37109,"Lincoln County, NC",0.5008
cty47145,"Roane County, TN",0.5008
cty48275,"Knox County, TX",0.5008
cty37151,"Randolph County, NC",0.5007
cty53029,"Island County, WA",0.5007
cty51157,"Rappahannock County, VA",0.5007
cty22057,"Lafourche Parish, LA",0.5006
cty25017,"Middlesex County, MA",0.5006
cty48411,"San Saba County, TX",0.5006
cty36031,"Essex County, NY",0.5006
cty34029,"Ocean County, NJ",0.5003
cty47071,"Hardin County, TN",0.5003
cty06009,"Calaveras County, CA",0.5003
cty28121,"Rankin County, MS",0.5002
cty53071,"Walla Walla County, WA",0.5002
cty08041,"El Paso County, CO",0.4998
cty48477,"Washington County, TX",0.4998
cty41027,"Hood River County, OR",0.4995
cty17197,"Will County, IL",0.4994
cty26079,"Kalkaska County, MI",0.4993
cty41033,"Josephine County, OR",0.4992
cty55105,"Rock County, WI",0.4992
cty23011,"Kennebec County, ME",0.4992
cty53055,"San Juan County, WA",0.4992
cty56027,"Niobrara County, WY",0.4992
cty48281,"Lampasas County, TX",0.499
cty18009,"Blackford County, IN",0.499
cty08019,"Clear Creek County, CO",0.499
cty39101,"Marion County, OH",0.499
cty36115,"Washington County, NY",0.4989
cty17187,"Warren County, IL",0.4989
cty01103,"Morgan County, AL",0.4988
cty24009,"Calvert County, MD",0.4986
cty13119,"Franklin County, GA",0.4985
cty26033,"Chippewa County, MI",0.4984
cty54041,"Lewis County, WV",0.4984
cty47089,"Jefferson County, TN",0.4983
cty13135,"Gwinnett County, GA",0.4982
cty54009,"Brooke County, WV",0.4982
cty41015,"Curry County, OR",0.4981
cty04025,"Yavapai County, AZ",0.4979
cty36023,"Cortland County, NY",0.4977
cty40065,"Jackson County, OK",0.4975
cty51041,"Chesterfield County, VA",0.4975
cty21113,"Jessamine County, KY",0.4975
cty26095,"Luce County, MI",0.4974
cty23005,"Cumberland County, ME",0.4974
cty47093,"Knox County, TN",0.4973
cty26075,"Jackson County, MI",0.4973
cty40005,"Atoka County, OK",0.4972
cty05059,"Hot Spring County, AR",0.497
cty33009,"Grafton County, NH",0.497
cty48443,"Terrell County, TX",0.497
cty36059,"Nassau County, NY",0.4969
cty50023,"Washington County, VT",0.4969
cty36065,"Oneida County, NY",0.4969
cty17095,"Knox County, IL",0.4968
cty01033,"Colbert County, AL",0.4967
cty08005,"Arapahoe County, CO",0.4966
cty51075,"Goochland County, VA",0.4965
cty51683,"Manassas city, VA",0.4965
cty51750,"Radford city, VA",0.4965
cty29175,"Randolph County, MO",0.4964
cty48361,"Orange County, TX",0.4962
cty26031,"Cheboygan County, MI",0.4961
cty21093,"Hardin County, KY",0.496
cty12133,"Washington County, FL",0.496
cty48493,"Wilson County, TX",0.4959
cty44009,"Washington County, RI",0.4958
cty13257,"Stephens County, GA",0.4958
cty13223,"Paulding County, GA",0.4958
cty17019,"Champaign County, IL",0.4957
cty13249,"Schley County, GA",0.4957
cty36113,"Warren County, NY",0.4956
cty41029,"Jackson County, OR",0.4955
cty09007,"Middlesex County, CT",0.4954
cty08011,"Bent County, CO",0.4954
cty40125,"Pottawatomie County, OK",0.4953
cty17161,"Rock Island County, IL",0.4953
cty28115,"Pontotoc County, MS",0.4953
cty37179,"Union County, NC",0.4951
cty40141,"Tillman County, OK",0.4951
cty36043,"Herkimer County, NY",0.495
cty20057,"Ford County, KS",0.4949
cty36011,"Cayuga County, NY",0.4949
cty50001,"Addison County, VT",0.4949
cty53015,"Cowlitz County, WA",0.4948
cty21235,"Whitley County, KY",0.4948
cty47019,"Carter County, TN",0.4948
cty41019,"Douglas County, OR",0.4946
cty06089,"Shasta County, CA",0.4945
cty23015,"Lincoln County, ME",0.4945
cty39163,"Vinton County, OH",0.4945
cty30023,"Deer Lodge County, MT",0.4942
cty06011,"Colusa County, CA",0.4942
cty21211,"Shelby County, KY",0.494
cty53069,"Wahkiakum County, WA",0.4938
cty23013,"Knox County, ME",0.4936
cty37027,"Caldwell County, NC",0.4935
cty42003,"Allegheny County, PA",0.4934
cty39145,"Scioto County, OH",0.4932
cty27123,"Ramsey County, MN",0.4932
cty48485,"Wichita County, TX",0.4932
cty47179,"Washington County, TN",0.4932
cty53021,"Franklin County, WA",0.4932
cty17089,"Kane County, IL",0.4931
cty37183,"Wake County, NC",0.4931
cty13025,"Brantley County, GA",0.4931
cty48161,"Freestone County, TX",0.4931
cty13067,"Cobb County, GA",0.4929
cty26143,"Roscommon County, MI",0.4929
cty51115,"Mathews County, VA",0.4929
cty26161,"Washtenaw County, MI",0.4928
cty26159,"Van Buren County, MI",0.4927
cty13295,"Walker County, GA",0.4927
cty28003,"Alcorn County, MS",0.4927
cty21129,"Lee County, KY",0.4927
cty25015,"Hampshire County, MA",0.4926
cty06091,"Sierra County, CA",0.4925
cty29021,"Buchanan County, MO",0.4925
cty53061,"Snohomish County, WA",0.4924
cty36063,"Niagara County, NY",0.4923
cty28139,"Tippah County, MS",0.4923
cty18141,"St. Joseph County, IN",0.4922
cty40019,"Carter County, OK",0.492
cty32009,"Esmeralda County, NV",0.492
cty48441,"Taylor County, TX",0.4919
cty20173,"Sedgwick County, KS",0.4917
cty33017,"Strafford County, NH",0.4916
cty39155,"Trumbull County, OH",0.4914
cty16079,"Shoshone County, ID",0.4914
cty18155,"Switzerland County, IN",0.4914
cty06079,"San Luis Obispo County, CA",0.4913
cty47003,"Bedford County, TN",0.4913
cty47115,"Marion County, TN",0.4912
cty47081,"Hickman County, TN",0.4912
cty01039,"Covington County, AL",0.4912
cty13229,"Pierce County, GA",0.4912
cty21023,"Bracken County, KY",0.4912
cty50011,"Franklin County, VT",0.4911
cty40107,"Okfuskee County, OK",0.491
cty36095,"Schoharie County, NY",0.491
cty48039,"Brazoria County, TX",0.4909
cty39079,"Jackson County, OH",0.4909
cty21097,"Harrison County, KY",0.4909
cty26039,"Crawford County, MI",0.4908
cty36073,"Orleans County, NY",0.4908
cty25023,"Plymouth County, MA",0.4907
cty51600,"Fairfax city, VA",0.4907
cty41047,"Marion County, OR",0.4906
cty12113,"Santa Rosa County, FL",0.4906
cty51177,"Spotsylvania County, VA",0.4906
cty34015,"Gloucester County, NJ",0.4904
cty18143,"Scott County, IN",0.4904
cty53035,"Kitsap County, WA",0.4902
cty48307,"McCulloch County, TX",0.4902
cty08055,"Huerfano County, CO",0.4902
cty36001,"Albany County, NY",0.4901
cty28155,"Webster County, MS",0.4901
cty20055,"Finney County, KS",0.4898
cty39087,"Lawrence County, OH",0.4896
cty22103,"St. Tammany Parish, LA",0.4894
cty06021,"Glenn County, CA",0.4893
cty48139,"Ellis County, TX",0.4893
cty37029,"Camden County, NC",0.4892
cty48459,"Upshur County, TX",0.4892
cty53057,"Skagit County, WA",0.4891
cty47149,"Rutherford County, TN",0.4891
cty51079,"Greene County, VA",0.4889
cty21119,"Knott County, KY",0.4888
cty26083,"Keweenaw County, MI",0.4888
cty01127,"Walker County, AL",0.4888
cty22063,"Livingston Parish, LA",0.4888
cty48399,"Runnels County, TX",0.4887
cty47063,"Hamblen County, TN",0.4887
cty50017,"Orange County, VT",0.4887
cty53067,"Thurston County, WA",0.4885
cty48457,"Tyler County, TX",0.4885
cty13315,"Wilcox County, GA",0.4884
cty13195,"Madison County, GA",0.4883
cty42079,"Luzerne County, PA",0.4883
cty36015,"Chemung County, NY",0.4883
cty41059,"Umatilla County, OR",0.4882
cty36033,"Franklin County, NY",0.4881
cty25027,"Worcester County, MA",0.4878
cty32005,"Douglas County, NV",0.4877
cty36093,"Schenectady County, NY",0.4875
cty26019,"Benzie County, MI",0.4874
cty01003,"Baldwin County, AL",0.4874
cty06007,"Butte County, CA",0.487
cty53019,"Ferry County, WA",0.487
cty48147,"Fannin County, TX",0.487
cty48067,"Cass County, TX",0.487
cty48305,"Lynn County, TX",0.487
cty50019,"Orleans County, VT",0.4869
cty22089,"St. Charles Parish, LA",0.4865
cty48429,"Stephens County, TX",0.4864
cty48173,"Glasscock County, TX",0.4864
cty51155,"Pulaski County, VA",0.4862
cty54011,"Cabell County, WV",0.486
cty13139,"Hall County, GA",0.4859
cty23001,"Androscoggin County, ME",0.4858
cty47119,"Maury County, TN",0.4858
cty08025,"Crowley County, CO",0.4857
cty51640,"Galax city, VA",0.4855
cty48019,"Bandera County, TX",0.4851
cty48331,"Milam County, TX",0.485
cty36109,"Tompkins County, NY",0.485
cty39081,"Jefferson County, OH",0.4848
cty01021,"Chilton County, AL",0.4847
cty55101,"Racine County, WI",0.4846
cty29189,"St. Louis County, MO",0.4845
cty51043,"Clarke County, VA",0.4845
cty21081,"Grant County, KY",0.4845
cty21173,"Montgomery County, KY",0.4844
cty36103,"Suffolk County, NY",0.4843
cty41011,"Coos County, OR",0.4842
cty48153,"Floyd County, TX",0.4841
cty40143,"Tulsa County, OK",0.4839
cty47143,"Rhea County, TN",0.4839
cty21237,"Wolfe County, KY",0.4839
cty37035,"Catawba County, NC",0.4838
cty18019,"Clark County, IN",0.4838
cty48197,"Hardeman County, TX",0.4838
cty54039,"Kanawha County, WV",0.4837
cty50013,"Grand Isle County, VT",0.4837
cty51047,"Culpeper County, VA",0.4837
cty48089,"Colorado County, TX",0.4837
cty06115,"Yuba County, CA",0.4836
cty37025,"Cabarrus County, NC",0.4836
cty36083,"Rensselaer County, NY",0.4835
cty34009,"Cape May County, NJ",0.4834
cty30035,"Glacier County, MT",0.4833
cty48075,"Childress County, TX",0.4832
