cty,Name,Fraction_Married_rP_gP_pall
cty19075,"Grundy County, IA",0.6463
cty31125,"Nance County, NE",0.6455
cty20183,"Smith County, KS",0.6451
cty49009,"Daggett County, UT",0.6449
cty38021,"Dickey County, ND",0.6446
cty38063,"Nelson County, ND",0.6444
cty20129,"Morton County, KS",0.6435
cty20195,"Trego County, KS",0.6433
cty38019,"Cavalier County, ND",0.6432
cty31127,"Nemaha County, NE",0.6432
cty46051,"Grant County, SD",0.6427
cty31017,"Brown County, NE",0.6423
cty49043,"Summit County, UT",0.6422
cty46105,"Perkins County, SD",0.6421
cty19089,"Howard County, IA",0.6421
cty27129,"Renville County, MN",0.6418
cty46009,"Bon Homme County, SD",0.641
cty20025,"Clark County, KS",0.6409
cty29147,"Nodaway County, MO",0.6408
cty31145,"Red Willow County, NE",0.6406
cty46095,"Mellette County, SD",0.6404
cty27151,"Swift County, MN",0.6401
cty29151,"Osage County, MO",0.6397
cty30097,"Sweet Grass County, MT",0.6397
cty19005,"Allamakee County, IA",0.6396
cty19083,"Hardin County, IA",0.6391
cty20109,"Logan County, KS",0.6391
cty30059,"Meagher County, MT",0.6388
cty29205,"Shelby County, MO",0.6386
cty19189,"Winnebago County, IA",0.6384
cty17185,"Wabash County, IL",0.6383
cty38033,"Golden Valley County, ND",0.6381
cty29199,"Scotland County, MO",0.6381
cty31147,"Richardson County, NE",0.6379
cty27089,"Marshall County, MN",0.6378
cty31177,"Washington County, NE",0.6377
cty31051,"Dixon County, NE",0.6376
cty18179,"Wells County, IN",0.6375
cty27143,"Sibley County, MN",0.6375
cty35021,"Harding County, NM",0.6372
cty27069,"Kittson County, MN",0.6371
cty31185,"York County, NE",0.6371
cty08103,"Rio Blanco County, CO",0.6369
cty17079,"Jasper County, IL",0.6364
cty38089,"Stark County, ND",0.6363
cty31095,"Jefferson County, NE",0.6362
cty31099,"Kearney County, NE",0.6361
cty31049,"Deuel County, NE",0.6359
cty20147,"Phillips County, KS",0.6357
cty55091,"Pepin County, WI",0.6352
cty17203,"Woodford County, IL",0.6349
cty20049,"Elk County, KS",0.6348
cty48195,"Hansford County, TX",0.6348
cty08125,"Yuma County, CO",0.6341
cty30103,"Treasure County, MT",0.634
cty27093,"Meeker County, MN",0.634
cty17049,"Effingham County, IL",0.6339
cty19065,"Fayette County, IA",0.6336
cty20097,"Kiowa County, KS",0.6335
cty19125,"Marion County, IA",0.6333
cty20081,"Haskell County, KS",0.6331
cty27045,"Fillmore County, MN",0.6331
cty40043,"Dewey County, OK",0.6329
cty16031,"Cassia County, ID",0.6327
